ORIGIN_AIRPORT,DESTINATION_AIRPORT,route_delay_rate
10792,12889,0.08333333333333333
10792,12953,0.0
10792,13204,0.07017543859649122
10792,13232,0.07407407407407407
10792,13487,0.0
10792,13930,0.136986301369863
10792,14107,0.0
10792,15304,0.0
10800,11292,0.15151515151515152
10800,12478,0.23529411764705882
10800,12889,0.17857142857142858
10800,13796,0.08040201005025126
10800,14057,0.061224489795918366
10800,14107,0.09090909090909091
10800,14747,0.14925373134328357
10800,14771,0.26506024096385544
10800,14831,0.15315315315315314
10800,14869,0.1
10800,14893,0.14018691588785046
10821,10140,0.1388888888888889
10821,10257,0.21568627450980393
10821,10397,0.14497041420118342
10821,10423,0.15151515151515152
10821,10529,0.175
10821,10599,0.18181818181818182
10821,10693,0.1919191919191919
10821,10721,0.17928286852589642
10821,10792,0.17647058823529413
10821,10994,0.14814814814814814
10821,11042,0.15942028985507245
10821,11057,0.22043010752688172
10821,11066,0.1625
10821,11259,0.07246376811594203
10821,11267,0.08333333333333333
10821,11292,0.05714285714285714
10821,11298,0.14942528735632185
10821,11433,0.17164179104477612
10821,11618,0.3
10821,11697,0.17032967032967034
10821,11721,0.3333333333333333
10821,11986,0.3055555555555556
10821,11996,0.1111111111111111
10821,12191,0.05555555555555555
10821,12266,0.06060606060606061
10821,12339,0.21568627450980393
10821,12391,0.19540229885057472
10821,12451,0.27450980392156865
10821,12478,0.1111111111111111
10821,12889,0.1839080459770115
10821,12892,0.1411764705882353
10821,12992,0.05555555555555555
10821,13198,0.20833333333333334
10821,13204,0.16279069767441862
10821,13232,0.10256410256410256
10821,13244,0.1111111111111111
10821,13296,0.17424242424242425
10821,13303,0.1276595744680851
10821,13342,0.08333333333333333
10821,13487,0.08695652173913043
10821,13495,0.1388888888888889
10821,13577,0.3333333333333333
10821,13796,0.05555555555555555
10821,13851,0.16666666666666666
10821,13930,0.2046783625730994
10821,13931,0.18840579710144928
10821,14027,0.24242424242424243
10821,14107,0.08108108108108109
10821,14122,0.27450980392156865
10821,14307,0.1830065359477124
10821,14321,0.14035087719298245
10821,14492,0.19607843137254902
10821,14576,0.16666666666666666
10821,14635,0.20512820512820512
10821,14679,0.1388888888888889
10821,14683,0.05555555555555555
10821,14730,0.13636363636363635
10821,14747,0.3055555555555556
10821,14771,0.0
10821,14843,0.23809523809523808
10821,14869,0.0784313725490196
10821,15016,0.05714285714285714
10821,15304,0.26666666666666666
10849,11292,0.09836065573770492
10849,13487,0.05555555555555555
10849,13930,0.2
10849,14057,0.05555555555555555
10849,14747,0.0
10849,14869,0.0
10868,10397,0.14173228346456693
10868,11298,0.14893617021276595
10868,12266,0.14285714285714285
10868,12953,0.21052631578947367
10868,13930,0.1
10874,10397,0.09803921568627451
10874,11278,0.16666666666666666
10874,11292,0.1111111111111111
10874,12953,0.24242424242424243
10874,13204,0.05555555555555555
10874,13930,0.030303030303030304
10874,15304,0.2222222222222222
10918,14869,0.03333333333333333
10926,10299,0.2777777777777778
10926,15991,0.0
10980,10397,0.16149068322981366
10980,11298,0.17647058823529413
10980,11433,0.06666666666666667
10980,13930,0.16666666666666666
10990,10397,0.058823529411764705
10990,12953,0.1875
10990,13930,0.09259259259259259
10994,10397,0.05405405405405406
10994,10693,0.05555555555555555
10994,10721,0.16666666666666666
10994,10821,0.12962962962962962
10994,11057,0.16666666666666666
10994,11259,0.1111111111111111
10994,11278,0.05555555555555555
10994,11433,0.0
10994,11618,0.24705882352941178
10994,12191,0.047619047619047616
10994,12266,0.16666666666666666
10994,12478,0.3157894736842105
10994,13232,0.05555555555555555
10994,13930,0.17391304347826086
10994,14100,0.25
11003,10397,0.15151515151515152
11003,11292,0.1875
11003,11433,0.08571428571428572
